"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"org.openqa.selenium.remote.Dialect$1.getEncodedElementKey ()","0.059 ms (0%)","0.0 ms (0%)","0.059 ms (0%)","0.0 ms (0%)","2,601"
"org.openqa.selenium.By.xpath (String)","0.202 ms (0%)","0.0 ms (0%)","0.218 ms (0%)","0.0 ms (0%)","31"
"plugin.MimicActions.updateSuggestions ()","0.029 ms (0%)","0.0 ms (0%)","0.066 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.execute (org.openqa.selenium.remote.http.HttpRequest)","0.911 ms (0%)","0.0 ms (0%)","119,426 ms (6.7%)","15.4 ms (0.5%)","1,265"
"org.openqa.selenium.remote.ErrorCodes.toStatus (String, java.util.Optional)","1.45 ms (0%)","0.0 ms (0%)","1.52 ms (0%)","0.0 ms (0%)","20"
"org.openqa.selenium.remote.ErrorCodes.lambda$toStatus$2 (String, org.openqa.selenium.remote.ErrorCodes.KnownError)","0.055 ms (0%)","0.0 ms (0%)","0.055 ms (0%)","0.0 ms (0%)","580"
"org.openqa.selenium.SharedCapabilitiesMethods.toString (org.openqa.selenium.Capabilities)","0.130 ms (0%)","0.0 ms (0%)","4.67 ms (0%)","0.0 ms (0%)","20"
"org.openqa.selenium.SharedCapabilitiesMethods.lambda$abbreviate$4 (java.util.Map, java.util.Map.Entry)","0.391 ms (0%)","0.0 ms (0%)","1.27 ms (0%)","0.0 ms (0%)","740"
"org.openqa.selenium.SharedCapabilitiesMethods.lambda$abbreviate$3 (java.util.Map.Entry)","0.172 ms (0%)","0.0 ms (0%)","0.172 ms (0%)","0.0 ms (0%)","4,480"
"org.openqa.selenium.SharedCapabilitiesMethods.abbreviate (java.util.Map, Object)","2.11 ms (0%)","0.0 ms (0%)","2.73 ms (0%)","0.0 ms (0%)","760"
"org.openqa.selenium.remote.ErrorCodec.decode (java.util.Map)","1.6 ms (0%)","0.0 ms (0%)","1.10 ms (0%)","0.0 ms (0%)","20"
"org.openqa.selenium.remote.ErrorCodec.lambda$decode$0 (String, org.openqa.selenium.remote.ErrorCodec.W3CError)","0.031 ms (0%)","0.0 ms (0%)","0.031 ms (0%)","0.0 ms (0%)","400"
"com.symatiq.extension.PluginThreads$CallActionMethodThread.run ()","0.018 ms (0%)","0.0 ms (0%)","113 ms (0%)","0.0 ms (0%)","20"
"org.openqa.selenium.MutableCapabilities.getCapability (String)","0.407 ms (0%)","0.0 ms (0%)","0.407 ms (0%)","0.0 ms (0%)","7,803"
"org.openqa.selenium.MutableCapabilities.toString ()","0.004 ms (0%)","0.0 ms (0%)","4.69 ms (0%)","0.0 ms (0%)","20"
"org.openqa.selenium.MutableCapabilities.asMap ()","0.011 ms (0%)","0.0 ms (0%)","0.011 ms (0%)","0.0 ms (0%)","20"
"org.openqa.selenium.remote.Command.getName ()","0.583 ms (0%)","0.0 ms (0%)","0.583 ms (0%)","0.0 ms (0%)","16,465"
"org.openqa.selenium.remote.Command.toString ()","0.390 ms (0%)","0.0 ms (0%)","0.395 ms (0%)","0.0 ms (0%)","20"
"org.openqa.selenium.remote.Command.getParameters ()","0.097 ms (0%)","0.0 ms (0%)","0.097 ms (0%)","0.0 ms (0%)","1,285"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.createRequest (org.openqa.selenium.remote.http.HttpRequest, org.openqa.selenium.remote.http.HttpMethod, java.net.URI)","14.1 ms (0%)","0.0 ms (0%)","26.5 ms (0%)","0.0 ms (0%)","1,265"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.createResponse (java.net.http.HttpResponse)","8.19 ms (0%)","0.0 ms (0%)","22.4 ms (0%)","0.0 ms (0%)","1,265"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.getRawUri (org.openqa.selenium.remote.http.HttpRequest)","7.32 ms (0%)","0.0 ms (0%)","7.32 ms (0%)","0.0 ms (0%)","1,265"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.lambda$createResponse$4 (org.openqa.selenium.remote.http.HttpResponse, String, java.util.List)","5.61 ms (0%)","0.0 ms (0%)","10.8 ms (0%)","0.0 ms (0%)","8,888"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.notChunkingBodyPublisher (org.openqa.selenium.remote.http.HttpRequest)","0.162 ms (0%)","0.0 ms (0%)","0.177 ms (0%)","0.0 ms (0%)","33"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.lambda$createResponse$3 (org.openqa.selenium.remote.http.HttpResponse, String, String)","0.855 ms (0%)","0.0 ms (0%)","5.19 ms (0%)","0.0 ms (0%)","8,888"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.lambda$createRequest$2 (java.net.http.HttpRequest.Builder, String, String)","5.22 ms (0%)","0.0 ms (0%)","5.22 ms (0%)","0.0 ms (0%)","3,795"
"org.openqa.selenium.json.JsonOutput$Node.write (String)","0.185 ms (0%)","0.0 ms (0%)","0.267 ms (0%)","0.0 ms (0%)","139"
"org.openqa.selenium.logging.StoringLocalLogs.addEntry (String, org.openqa.selenium.logging.LogEntry)","0.531 ms (0%)","0.0 ms (0%)","0.531 ms (0%)","0.0 ms (0%)","2,530"
"org.openqa.selenium.json.JsonOutput.lambda$new$1 (Appendable, String)","0.107 ms (0%)","0.0 ms (0%)","0.107 ms (0%)","0.0 ms (0%)","576"
"org.openqa.selenium.json.JsonOutput.name (String)","0.043 ms (0%)","0.0 ms (0%)","0.866 ms (0%)","0.0 ms (0%)","96"
"org.openqa.selenium.json.JsonOutput.append (String)","0.020 ms (0%)","0.0 ms (0%)","0.068 ms (0%)","0.0 ms (0%)","94"
"org.openqa.selenium.json.JsonOutput.getMethod (Class, String)","2.0 ms (0%)","0.0 ms (0%)","2.4 ms (0%)","0.0 ms (0%)","562"
"org.openqa.selenium.json.JsonOutput.write (Object, int)","0.027 ms (0%)","0.0 ms (0%)","8.49 ms (0%)","0.0 ms (0%)","33"
"org.openqa.selenium.json.JsonOutput.close ()","0.027 ms (0%)","0.0 ms (0%)","0.027 ms (0%)","0.0 ms (0%)","33"
"org.openqa.selenium.json.JsonOutput.write0 (Object, int, int)","1.51 ms (0%)","0.0 ms (0%)","8.47 ms (0%)","0.0 ms (0%)","141"
"org.openqa.selenium.json.JsonOutput.beginObject ()","0.256 ms (0%)","0.0 ms (0%)","0.391 ms (0%)","0.0 ms (0%)","45"
"org.openqa.selenium.json.JsonOutput.endObject ()","0.391 ms (0%)","0.0 ms (0%)","0.396 ms (0%)","0.0 ms (0%)","45"
"org.openqa.selenium.json.JsonOutput.endArray ()","0.428 ms (0%)","0.0 ms (0%)","0.430 ms (0%)","0.0 ms (0%)","4"
"org.openqa.selenium.json.JsonOutput.beginArray ()","0.044 ms (0%)","0.0 ms (0%)","0.056 ms (0%)","0.0 ms (0%)","4"
"org.openqa.selenium.json.JsonOutput.lambda$new$3 (Object, int, int)","0.032 ms (0%)","0.0 ms (0%)","0.265 ms (0%)","0.0 ms (0%)","78"
"org.openqa.selenium.json.JsonOutput.lambda$asString$34 (StringBuilder, int)","0.160 ms (0%)","0.0 ms (0%)","0.160 ms (0%)","0.0 ms (0%)","868"
"org.openqa.selenium.json.JsonOutput.convertUsingMethod (String, Object, int, int)","0.019 ms (0%)","0.0 ms (0%)","2.88 ms (0%)","0.0 ms (0%)","2"
"org.openqa.selenium.json.JsonOutput.asString (Object)","0.589 ms (0%)","0.0 ms (0%)","0.754 ms (0%)","0.0 ms (0%)","174"
"org.openqa.selenium.json.JsonOutput.lambda$new$19 (Class)","0.004 ms (0%)","0.0 ms (0%)","0.306 ms (0%)","0.0 ms (0%)","49"
"org.openqa.selenium.json.JsonOutput.lambda$new$15 (Class)","0.034 ms (0%)","0.0 ms (0%)","1.46 ms (0%)","0.0 ms (0%)","51"
"org.openqa.selenium.json.JsonOutput.lambda$new$23 (Object, int, int)","0.355 ms (0%)","0.0 ms (0%)","3.30 ms (0%)","0.0 ms (0%)","4"
"org.openqa.selenium.json.JsonOutput.lambda$new$17 (Class)","0.005 ms (0%)","0.0 ms (0%)","0.317 ms (0%)","0.0 ms (0%)","49"
"org.openqa.selenium.json.JsonOutput.lambda$new$22 (int, int, Object)","0.0 ms (0%)","0.0 ms (0%)","2.99 ms (0%)","0.0 ms (0%)","10"
"org.openqa.selenium.json.JsonOutput.lambda$new$24 (int, int, Object, Object)","0.054 ms (0%)","0.0 ms (0%)","4.54 ms (0%)","0.0 ms (0%)","96"
"org.openqa.selenium.json.JsonOutput.lambda$new$21 (Object)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","10"
"org.openqa.selenium.json.JsonOutput.lambda$write0$32 (Object, java.util.Map.Entry)","0.558 ms (0%)","0.0 ms (0%)","2.66 ms (0%)","0.0 ms (0%)","1,098"
"org.openqa.selenium.json.JsonOutput.lambda$new$25 (Object, int, int)","0.450 ms (0%)","0.0 ms (0%)","5.57 ms (0%)","0.0 ms (0%)","45"
"org.openqa.selenium.json.JsonOutput.lambda$new$16 (Object, int, int)","0.001 ms (0%)","0.0 ms (0%)","2.88 ms (0%)","0.0 ms (0%)","2"
"org.openqa.selenium.json.JsonOutput.lambda$new$4 (Object, int, int)","0.009 ms (0%)","0.0 ms (0%)","0.018 ms (0%)","0.0 ms (0%)","12"
"plugin.AugmentState.drawRectangle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, boolean)","0.468 ms (0%)","0.0 ms (0%)","29.1 ms (0%)","0.0 ms (0%)","356"
